team,Win League
Alavés,"[1, 1, 1, 1, 1]"
Athletic Bilbao,"[1, 1, 1, 1, 1]"
Atlético Madrid,"[12, 17, 17, 20, 24]"
Barcelona,"[44, 43, 32, 30, 37]"
Celta Vigo,"[1, 1, 1, 1, 1]"
Cádiz,"[1, 1, 1, 1, 1]"
Eibar,"[1, 1, 1, 1, 1]"
Elche,"[1, 1, 1, 1, 1]"
Getafe,"[1, 1, 1, 1, 1]"
Granada,"[1, 1, 1, 1, 1]"
Huesca,"[1, 1, 1, 1, 1]"
Levante,"[1, 1, 1, 1, 1]"
Osasuna,"[1, 1, 1, 1, 1]"
Real Betis,"[1, 1, 1, 1, 1]"
Real Madrid,"[35, 26, 38, 40, 24]"
Real Sociedad,"[1, 3, 5, 5, 9]"
Sevilla,"[5, 5, 4, 2, 2]"
Valencia,"[1, 1, 1, 1, 1]"
Valladolid,"[1, 1, 1, 1, 1]"
Villarreal,"[1, 2, 2, 2, 3]"
