Country,1,2,3,4,5
Afghanistan,,,,,
Albania,Ronaldo,Van Dijk,Messi,Alisson,Salah
Algeria  ,Mane ,Messi ,Mahrez,Van Dijk,Aguero
American Samoa ,,,,,
Andorra ,Messi ,Salah ,Mbappe,De Jong,Ronaldo
Angola ,Van Dijk ,Ronaldo,Messi,Salah,Mane
Argentina ,Messi ,Ronaldo,Aguero,Van Dijk ,Benzema
Armenia ,Ronaldo ,Messi ,Van Dijk,Salah,Mbappe
Aruba,Messi ,Mane ,Ronaldo,Van Dijk ,Wjinaldum
Australia,Messi ,Van Dijk ,Ronaldo,Sterling,Mane
Austria ,Mane ,Messi ,Ronaldo,Van Dijk ,Salah
Azerbaijan ,Van Dijk,Mane ,Salah,Messi,Ronaldo
Bahrein ,Van Dijk ,Ronaldo,Messi,Salah,Mane
Barbados ,Ronaldo ,Alisson ,Van Dijk,Messi,Salah
Bangladesh ,,,,,
Belarus ,Van Dijk ,Messi ,Ronaldo ,Lewandowski,Mane
Belgium,Van Dijk ,Messi ,Salah,Ronaldo,Hazard
Belize,Messi ,Ronaldo ,Van Dijk,Griezmann,Mane
Benin ,Mane ,Alisson ,Van Dijk,Ronaldo,Messi
Bermuda,Salah ,Van Dijk,Mbappe,Ronaldo,Messi
Bolivia ,Messi ,Mbappe ,Ronaldo,Van Dijk,Griezmann
Bosnia,Van Dijk ,Messi ,Salah,De Jong,Son
Botswana ,,,,,
Bhutan,Mane ,Van Dijk ,Salah,Alisson,Firmino
Brazil ,Messi ,Mane ,Van Dijk,Ronaldo,De Jong
Bulgaria ,Van Dijk ,Ronaldo,Messi,Mbappe,Mahrez
Burkina Faso ,Mane,Messi ,Ronaldo,Hazard,Mbbape
Burundi,Messi ,Mane ,Ronaldo ,Mbappe ,Van Dijk
Cambodia ,Van Dijk ,Ronaldo ,Lewanodwski,Mbappe,Messi
Cameroon ,Van Dijk ,Salah ,Mane,Alisson,Alexander-Arnold
Canada ,Van Dijk ,Messi ,Ronaldo,Hazard,Salah
Cape Verde ,Messi ,Ronaldo ,Van Dijk,Mane,Sterling
Cayman Islands,Van Dijk ,Messi ,Ronaldo,Mane,De Ligt
Central African Republic,Mane ,Ronaldo ,Mbappe,Messi,Bernardo Silva
Chad ,Ronaldo ,Mbappe ,Messi,Mane,Salah
Chile ,Van Dijk ,Ronaldo,Hazard,Messi,De Ligt
China PR ,Van Dijk ,Messi ,Mane,Ronaldo,Alisson
Chinese Taipei ,,,,,
Colombia,Van Dijk ,Ronaldo ,Messi,Mahrez,Mbappe
Comoros ,,,,,
Congo ,Van Dijk ,Mane ,Salah,Messi,Ronaldo
Congo DR ,Mane ,Van Dijk ,Messi,Salah,Ronaldo
Cook Islands,Messi,Ronaldo ,Salah,Mbappe,Hazard
Costa Rica ,Messi ,Van Dijk,Mane,Bernardo Silva,Ronaldo
Côte d'Ivoire ,Alisson ,Mane ,Mahrez,Van Dijk,Mbappe
Croatia ,Ronaldo,Alisson ,Aguero,Van Dijk,Mbappe
Cuba,Messi ,Van Dijk ,Ronaldo,Mbappe,Mane
Curacao,,,,,
Cyprus ,Van Dijk ,Mane ,De Jong,Ronaldo,Lewandowski
Czech Republic,Van Dijk,Messi ,Mbappe,Ronaldo,Lewandowski
Denmark ,Messi ,Van Dijk ,Ronaldo,Sterling,Mane
